Rank	Gene	PredictionScore
12454	DNAJC24	0.078
12455	C6ORF223	0.078
12456	C3ORF79	0.078
12457	SLC25A34	0.078
12458	CCT7	0.078
12459	ABCB5	0.078
12460	STPG2	0.078
12461	C12ORF44	0.078
12462	DNAH1	0.078
12463	C9ORF78	0.078
12464	SAMD9L	0.078
12465	ZNF503-AS2	0.078
12466	CST9	0.078
12467	APOOL	0.078
12468	TPD52	0.078
12469	SRBD1	0.077
12470	SAE1	0.077
12471	RPP38	0.077
12472	RNF121	0.077
12473	ZNF155	0.077
12474	SIGLECL1	0.077
12475	HSD17B8	0.077
12476	C3ORF17	0.077
12477	NUP107	0.077
12478	ZMAT2	0.077
12479	TSSK6	0.077
12480	MID1IP1	0.077
12481	SLC36A2	0.077
12482	TMEM132E	0.077
12483	ZNF831	0.077
12484	HVCN1	0.077
12485	ACOX3	0.077
12486	TMEM105	0.077
12487	VPS4A	0.077
12488	BOC	0.077
12489	B3GNT1	0.077
12490	NUDT18	0.077
12491	CDC42EP2	0.077
12492	TCP11L1	0.077
12493	SLFN11	0.077
12494	LINC00636	0.077
12495	TM9SF4	0.077
12496	TSPAN18	0.077
12497	MAGEB6	0.077
12498	IRF3	0.077
12499	C3ORF67	0.077
12500	RAB24	0.077
12501	RAB28	0.077
12502	ARRDC4	0.077
12503	AXDND1	0.077
12504	ZNF229	0.077
12505	ABHD10	0.077
12506	SLC2A12	0.077
12507	SEPSECS	0.077
12508	OGN	0.077
12509	PIPOX	0.077
12510	SARNP	0.077
12511	ZNF750	0.077
12512	C18ORF56	0.077
12513	FLII	0.077
12514	NPRL3	0.077
12515	AR	0.077
12516	CYP2J2	0.077
12517	ZNF736	0.077
12518	ADM5	0.077
12519	ZNF843	0.077
12520	NDFIP1	0.077
12521	GANAB	0.077
12522	VSIG10	0.077
12523	ABHD11	0.077
12524	STARD3	0.077
12525	CIR1	0.077
12526	KIF18A	0.077
12527	HIRIP3	0.077
12528	RWDD3	0.077
12529	C21ORF91	0.077
12530	CCDC60	0.077
12531	TAS2R39	0.077
12532	ACSS2	0.077
12533	SBNO2	0.077
12534	RRAD	0.077
12535	TPK1	0.077
12536	SH2D6	0.077
12537	ZDHHC7	0.077
12538	GAL	0.077
12539	ZNF446	0.077
12540	FAM175A	0.077
12541	GOLM1	0.077
12542	TADA3	0.077
12543	C1ORF112	0.077
12544	CCDC42B	0.077
12545	PREB	0.077
12546	SMARCAL1	0.077
12547	MAGEF1	0.077
12548	TRMT61B	0.077
12549	CCDC89	0.077
12550	SLC26A9	0.077
12551	DUSP1	0.077
12552	DDX56	0.077
12553	CTAGE9	0.077
12554	KIF20B	0.077
12555	PSMD9	0.077
12556	RAMP1	0.077
12557	RAD51C	0.077
12558	GPAT2	0.077
12559	C16ORF54	0.077
12560	HPS3	0.077
12561	ASNSD1	0.077
12562	SUDS3	0.077
12563	TRAPPC12	0.077
12564	XAGE3	0.077
12565	GIPC1	0.077
12566	PDGFB	0.077
12567	C2ORF71	0.077
12568	ADAMTSL1	0.077
12569	FBXO15	0.077
12570	DRGX	0.077
12571	SZRD1	0.077
12572	NIPSNAP3A	0.077
12573	STK3	0.077
12574	ABCG1	0.077
12575	NUGGC	0.077
12576	DISP1	0.077
12577	C6ORF52	0.077
12578	OR1E2	0.077
12579	MFSD9	0.077
12580	C20ORF202	0.077
12581	PRLHR	0.077
12582	PIGQ	0.076
12583	TPGS1	0.076
12584	FOXD4	0.076
12585	C11ORF40	0.076
12586	NSDHL	0.076
12587	PPAP2C	0.076
12588	NEURL2	0.076
12589	C7ORF57	0.076
12590	THOC6	0.076
12591	ODF3L1	0.076
12592	C2CD4C	0.076
12593	ZWILCH	0.076
12594	IFNLR1	0.076
12595	MED6	0.076
12596	USP44	0.076
12597	INSIG2	0.076
12598	KRTAP4-8	0.076
12599	SAP25	0.076
12600	GRK7	0.076
12601	TUBGCP2	0.076
12602	CHST7	0.076
12603	ZNF112	0.076
12604	ERGIC1	0.076
12605	GAB4	0.076
12606	BTG3	0.076
12607	FAM107B	0.076
12608	SPAG16	0.076
12609	HLA-DRB4	0.076
12610	SYT6	0.076
12611	KLF15	0.076
12612	RECQL	0.076
12613	ACTRT3	0.076
12614	WRB	0.076
12615	U2AF1	0.076
12616	PUSL1	0.076
12617	ZNF645	0.076
12618	TTPA	0.076
12619	RTN4IP1	0.076
12620	NT5DC2	0.076
12621	ANAPC2	0.076
12622	PSMD10	0.076
12623	FPGT	0.076
12624	RPS29	0.076
12625	RGS19	0.076
12626	TMPPE	0.076
12627	POLR2M	0.076
12628	BLOC1S5	0.076
12629	FOXR2	0.076
12630	HAUS4	0.076
12631	PHYHD1	0.076
12632	SSBP1	0.076
12633	C1ORF50	0.076
12634	OR2W3	0.076
12635	RAB8A	0.076
12636	UBB	0.076
12637	PRAC	0.076
12638	NHSL1	0.076
12639	MGAT1	0.076
12640	SEMA3G	0.076
12641	CDK5RAP1	0.076
12642	EFNA2	0.076
12643	MIS18A	0.076
12644	BCAS2	0.076
12645	CTNNBL1	0.076
12646	NFATC3	0.076
12647	HDGF	0.076
12648	POR	0.076
12649	PCDHA13	0.076
12650	PP2D1	0.076
12651	WBP1	0.076
12652	SAMD9	0.076
12653	TEKT4	0.076
12654	C21ORF90	0.076
12655	ZDHHC24	0.076
12656	SMOX	0.076
12657	TAS2R40	0.076
12658	DLK1	0.076
12659	C1D	0.076
12660	RARRES3	0.076
12661	SPC24	0.076
12662	MARS	0.076
12663	HUS1B	0.076
12664	GALNT4	0.076
12665	TYW5	0.076
12666	SCO1	0.076
12667	OS9	0.076
12668	XKR8	0.076
12669	MTMR14	0.076
12670	C1ORF110	0.076
12671	C4ORF45	0.076
12672	NXPH3	0.076
12673	WDR65	0.076
12674	IGSF22	0.076
12675	MYL4	0.076
12676	S1PR5	0.076
12677	ELMOD3	0.076
12678	ZNF783	0.076
12679	LOC283868	0.076
12680	SEMA4D	0.076
12681	UAP1	0.076
12682	EXOC7	0.076
12683	ALDH4A1	0.076
12684	CAB39L	0.076
12685	PLEC	0.076
12686	INTS5	0.076
12687	ADCY7	0.076
12688	HDAC3	0.076
12689	RNF39	0.076
12690	SUMF2	0.076
12691	CCDC137	0.076
12692	KDR	0.076
12693	GHDC	0.076
12694	COL16A1	0.076
12695	CCDC42	0.076
12696	C17ORF77	0.076
12697	SLC27A1	0.076
12698	C3ORF49	0.075
12699	SPHK2	0.075
12700	C2ORF57	0.075
12701	PIGC	0.075
12702	UCK2	0.075
12703	SERPINE3	0.075
12704	TMEM150A	0.075
12705	MTO1	0.075
12706	LMF2	0.075
12707	MEOX2	0.075
12708	TNFAIP6	0.075
12709	C12ORF77	0.075
12710	CLIC2	0.075
12711	ADH1B	0.075
12712	FAM98A	0.075
12713	TSPYL6	0.075
12714	MSL3	0.075
12715	ALKBH3	0.075
12716	PGPEP1L	0.075
12717	NLRP9	0.075
12718	CKAP2	0.075
12719	FAM205A	0.075
12720	ADAMTS19	0.075
12721	C20ORF26	0.075
12722	ZNF593	0.075
12723	FKBP5	0.075
12724	COL4A5	0.075
12725	AAAS	0.075
12726	CLCN7	0.075
12727	PDK1	0.075
12728	MS4A6E	0.075
12729	KCNK4	0.075
12730	FAM27D1	0.075
12731	STIL	0.075
12732	BCAP29	0.075
12733	C7ORF50	0.075
12734	ILF2	0.075
12735	PPT2	0.075
12736	RRAGA	0.075
12737	C1ORF226	0.075
12738	ZDHHC16	0.075
12739	EDNRB	0.075
12740	CABP2	0.075
12741	C8ORF58	0.075
12742	CAPN13	0.075
12743	PEX2	0.075
12744	MX2	0.075
12745	PIM1	0.075
12746	FAM192A	0.075
12747	METTL7A	0.075
12748	ZKSCAN3	0.075
12749	WFDC1	0.075
12750	NAP1L4	0.075
12751	PRODH	0.075
12752	FAM46D	0.075
12753	TMCO3	0.075
12754	FOLH1	0.075
12755	TRAPPC6A	0.075
12756	LPAR1	0.075
12757	PRKCH	0.075
12758	MUL1	0.075
12759	KATNA1	0.075
12760	PPP4R1L	0.075
12761	ARHGEF15	0.075
12762	MYH14	0.075
12763	PARP15	0.075
12764	SHMT2	0.075
12765	FAU	0.075
12766	CCDC28B	0.075
12767	TNFSF12	0.075
12768	WDPCP	0.075
12769	PPFIBP2	0.075
12770	HLA-DPB1	0.075
12771	NARS2	0.075
12772	RSPO4	0.075
12773	MAML3	0.075
12774	GPC4	0.075
12775	FAM135B	0.075
12776	NUDT7	0.075
12777	SEPN1	0.075
12778	DYNLL1	0.075
12779	LYPLA1	0.075
12780	CHEK2	0.075
12781	C15ORF26	0.075
12782	TPST2	0.075
12783	P2RX5	0.075
12784	CHKB	0.075
12785	GEMIN4	0.075
12786	NME1	0.075
12787	DNAJB9	0.075
12788	NME8	0.075
12789	CBR3	0.075
12790	FOXRED1	0.075
12791	CD164L2	0.075
12792	SCARB2	0.075
12793	FAM207A	0.075
12794	TRIM55	0.075
12795	DNAJC14	0.075
12796	FASTKD2	0.075
12797	ERCC2	0.075
12798	PLK1	0.075
12799	EHD1	0.075
12800	CYB5D1	0.075
12801	SRFBP1	0.075
12802	FXN	0.075
12803	THAP7	0.075
12804	SCRN2	0.075
12805	MAFB	0.075
12806	SMPX	0.075
12807	CNPY3	0.075
12808	COMMD8	0.075
12809	C5ORF27	0.075
12810	C1ORF159	0.075
12811	CERKL	0.075
12812	ZNF543	0.075
12813	FMO1	0.075
12814	ZNF208	0.075
12815	SPRR2E	0.075
12816	TMEM232	0.075
12817	URM1	0.075
12818	TGOLN2	0.075
12819	BLOC1S3	0.075
12820	SNX11	0.075
12821	HRNR	0.075
12822	PLSCR4	0.075
12823	NDUFB1	0.075
12824	ALDH7A1	0.075
12825	TEX19	0.075
12826	PRDM13	0.075
12827	LOC400891	0.075
12828	PRPSAP1	0.075
12829	SPATS1	0.075
12830	SLC13A4	0.075
12831	ZCCHC10	0.075
12832	TRIM27	0.075
12833	MTNR1B	0.075
12834	NDST2	0.075
12835	CDPF1	0.074
12836	ASAP3	0.074
12837	ZBED5	0.074
12838	RPS15	0.074
12839	CLP1	0.074
12840	ZNF479	0.074
12841	COL23A1	0.074
12842	CHCHD5	0.074
12843	ANKRD30A	0.074
12844	IP6K3	0.074
12845	C20ORF196	0.074
12846	CTDSP1	0.074
12847	ISPD	0.074
12848	NUF2	0.074
12849	TMEM202	0.074
12850	CYP2U1	0.074
12851	SYS1	0.074
12852	FANCD2OS	0.074
12853	ORMDL3	0.074
12854	PDE4C	0.074
12855	BTBD17	0.074
12856	OLFM4	0.074
12857	ITPRIPL2	0.074
12858	EGFLAM	0.074
12859	CYB5R3	0.074
12860	TMEM258	0.074
12861	CEPT1	0.074
12862	PSRC1	0.074
12863	GNAI3	0.074
12864	TAS2R38	0.074
12865	DTWD1	0.074
12866	OR51J1	0.074
12867	NPEPL1	0.074
12868	ELP4	0.074
12869	RDM1	0.074
12870	TMLHE	0.074
12871	TMEM189	0.074
12872	SMIM7	0.074
12873	HSCB	0.074
12874	COL6A6	0.074
12875	FTSJD1	0.074
12876	ATF7	0.074
12877	YBX1	0.074
12878	PRAM1	0.074
12879	TEC	0.074
12880	RABEP2	0.074
12881	CORO7	0.074
12882	CXXC11	0.074
12883	CPED1	0.074
12884	LCTL	0.074
12885	MTHFD1L	0.074
12886	MT1M	0.074
12887	TRAPPC2P1	0.074
12888	SFXN4	0.074
12889	CCT3	0.074
12890	CHI3L2	0.074
12891	COMTD1	0.074
12892	DHODH	0.074
12893	TNC	0.074
12894	NADSYN1	0.074
12895	RSL24D1	0.074
12896	ZBBX	0.074
12897	ABCF3	0.074
12898	AGBL1	0.074
12899	MRPL17	0.074
12900	TEX37	0.074
12901	EIF3J	0.074
12902	PKIG	0.074
12903	KCNK17	0.074
12904	NMRK1	0.074
12905	TOR1AIP1	0.074
12906	SMIM3	0.074
12907	SDR16C5	0.074
12908	DCXR	0.074
12909	LRRC66	0.074
12910	SLC25A28	0.074
12911	ORAI3	0.074
12912	ZNF449	0.074
12913	IFT74	0.074
12914	C10ORF55	0.074
12915	HJURP	0.074
12916	ARMC7	0.074
12917	MTIF3	0.074
12918	SLC47A1	0.074
12919	C16ORF59	0.074
12920	HPR	0.074
12921	RBP5	0.074
12922	EGFL6	0.074
12923	CHTF8	0.074
12924	HOXB2	0.074
12925	KRTAP5-2	0.074
12926	NUP37	0.074
12927	C14ORF142	0.074
12928	FARSA	0.074
12929	MS4A4A	0.074
12930	MAP2K1	0.074
12931	C6ORF165	0.074
12932	C12ORF40	0.074
12933	NABP1	0.074
12934	SPATA31D1	0.074
12935	FCRL5	0.074
12936	PXDNL	0.073
12937	CCL26	0.073
12938	RAP1B	0.073
12939	ENDOV	0.073
12940	C1ORF186	0.073
12941	VPS45	0.073
12942	ANHX	0.073
12943	ZDHHC12	0.073
12944	BIRC2	0.073
12945	SEC24D	0.073
12946	SLC22A3	0.073
12947	MOSPD3	0.073
12948	EAF1	0.073
12949	ANAPC7	0.073
12950	RHBDD1	0.073
12951	STRAP	0.073
12952	FAM70B	0.073
12953	UBIAD1	0.073
12954	SNX8	0.073
12955	C12ORF54	0.073
12956	PTBP1	0.073
12957	MRPL14	0.073
12958	LRRC59	0.073
12959	ARHGAP15	0.073
12960	POLN	0.073
12961	C17ORF97	0.073
12962	C10ORF113	0.073
12963	ZNF425	0.073
12964	TET3	0.073
12965	SLFN13	0.073
12966	WDR3	0.073
12967	LSM2	0.073
12968	ZNF705G	0.073
12969	RNF34	0.073
12970	DUT	0.073
12971	C9ORF64	0.073
12972	MRRF	0.073
12973	AAMDC	0.073
12974	AUP1	0.073
12975	CYB5R2	0.073
12976	ITIH5	0.073
12977	SURF2	0.073
12978	MGC20647	0.073
12979	MZT2A	0.073
12980	LURAP1	0.073
12981	RAC1	0.073
12982	PGBD2	0.073
12983	PIGB	0.073
12984	PRDM11	0.073
12985	PPP1R8	0.073
12986	FAM216B	0.073
12987	FDCSP	0.073
12988	IZUMO4	0.073
12989	C14ORF79	0.073
12990	PDLIM4	0.073
12991	CTSL1	0.073
12992	CPO	0.073
12993	PLA2G4C	0.073
12994	TBC1D8B	0.073
12995	IRF2	0.073
12996	CNBD2	0.073
12997	ADIPOR2	0.073
12998	C4ORF33	0.073
12999	TUBA1B	0.073
13000	MKI67IP	0.073
13001	ARRDC5	0.073
13002	C20ORF78	0.073
13003	PAF1	0.073
13004	SLC38A5	0.073
13005	TSC22D3	0.073
13006	NRP2	0.073
13007	DCPS	0.073
13008	FAP	0.073
13009	MSTO1	0.073
13010	RASIP1	0.073
13011	ABCG2	0.073
13012	ZNF33B	0.073
13013	ARL3	0.073
13014	SLC16A6	0.073
13015	KHDC1	0.073
13016	12-Sep	0.073
13017	FRAT1	0.073
13018	MRI1	0.073
13019	ERBB3	0.073
13020	C17ORF98	0.073
13021	SP140L	0.073
13022	CSRNP1	0.073
13023	TOR1AIP2	0.073
13024	C22ORF42	0.073
13025	TTC39A	0.073
13026	CXORF64	0.073
13027	SLC16A12	0.073
13028	PPP5C	0.073
13029	PRPF19	0.073
13030	WBSCR16	0.073
13031	IGFL1	0.073
13032	CDHR4	0.073
13033	PMCH	0.073
13034	NOP2	0.073
13035	ZNF35	0.073
13036	SAMD3	0.073
13037	CDYL2	0.073
13038	TSNARE1	0.073
13039	ATP6V0D1	0.072
13040	PLEKHH2	0.072
13041	RAP1A	0.072
13042	CCDC159	0.072
13043	POMGNT1	0.072
13044	ZIM3	0.072
13045	LEMD1	0.072
13046	ZNF695	0.072
13047	RNF122	0.072
13048	CCDC88C	0.072
13049	PHOSPHO1	0.072
13050	RPS16	0.072
13051	C1ORF86	0.072
13052	FAM78A	0.072
13053	TMEM243	0.072
13054	ETNK2	0.072
13055	FZD6	0.072
13056	USB1	0.072
13057	ERF	0.072
13058	APOBEC3A	0.072
13059	AP2S1	0.072
13060	NT5C1A	0.072
13061	NRBP1	0.072
13062	FERMT1	0.072
13063	DIRC1	0.072
13064	AP2M1	0.072
13065	C7ORF71	0.072
13066	PPL	0.072
13067	FAM111B	0.072
13068	SEC31A	0.072
13069	PTPLB	0.072
13070	PYROXD2	0.072
13071	PADI2	0.072
13072	MCM5	0.072
13073	OAF	0.072
13074	RWDD4	0.072
13075	GPR150	0.072
13076	EIF4A3	0.072
13077	TMED5	0.072
13078	ATF1	0.072
13079	LOC147646	0.072
13080	TRIP4	0.072
13081	FAM83B	0.072
13082	8-Sep	0.072
13083	POLR3GL	0.072
13084	LDHD	0.072
13085	ITGA3	0.072
13086	RAMP3	0.072
13087	RFPL1	0.072
13088	TUFM	0.072
13089	TRABD	0.072
13090	TMEM160	0.072
13091	GLYATL1	0.072
13092	SFTA2	0.072
13093	C21ORF88	0.072
13094	TUBB4B	0.072
13095	ACBD4	0.072
13096	DRG1	0.072
13097	MPZL3	0.072
13098	TSPAN14	0.072
13099	NOTCH3	0.072
13100	ARHGEF1	0.072
13101	CHCHD10	0.072
13102	C13ORF45	0.072
13103	TRIM65	0.072
13104	C5ORF17	0.072
13105	RUFY1	0.072
13106	ARHGAP8	0.072
13107	PSG2	0.072
13108	DEFB129	0.072
13109	GGACT	0.072
13110	TLR3	0.072
13111	C19ORF81	0.072
13112	MT1G	0.072
13113	ZC3H8	0.072
13114	CCDC126	0.072
13115	SLC9A8	0.072
13116	ZBED3	0.072
13117	LEKR1	0.072
13118	FAHD2A	0.072
13119	RAB7L1	0.072
13120	MTRR	0.072
13121	LACRT	0.072
13122	ANKRD20A4	0.072
13123	FAM27E2	0.072
13124	FAM3A	0.072
13125	METTL24	0.072
13126	LDLRAP1	0.072
13127	GTF2E2	0.072
13128	DBF4B	0.072
13129	C1ORF198	0.072
13130	SERPINA9	0.072
13131	SHISA2	0.072
13132	SLC35C2	0.072
13133	PCDHA12	0.072
13134	ISY1-RAB43	0.072
13135	C21ORF67	0.072
13136	ENTPD2	0.072
13137	TPRA1	0.072
13138	TMEM178B	0.072
13139	ZNF689	0.072
13140	C14ORF183	0.072
13141	CYP39A1	0.072
13142	SFT2D1	0.072
13143	CCDC37	0.072
13144	SLC47A2	0.072
13145	POLR3D	0.072
13146	FAM203B	0.072
13147	MINA	0.072
13148	SIRPD	0.072
13149	SGCE	0.072
13150	C7ORF72	0.072
13151	SAMD4A	0.072
13152	FAM196A	0.072
13153	TBC1D2B	0.072
13154	TOM1L1	0.072
13155	SLC10A7	0.072
13156	OBSCN	0.072
13157	ZNF747	0.072
13158	NLE1	0.072
13159	ACSF3	0.072
13160	ZNF878	0.071
13161	MRPL28	0.071
13162	ERICH1	0.071
13163	LOC440335	0.071
13164	TSSK3	0.071
13165	FAM46A	0.071
13166	PIGA	0.071
13167	PIGT	0.071
13168	C14ORF93	0.071
13169	LIPK	0.071
13170	TARS	0.071
13171	XRCC1	0.071
13172	ATP5S	0.071
13173	ERVV-1	0.071
13174	SLC25A13	0.071
13175	POLR2J3	0.071
13176	METTL23	0.071
13177	KIF14	0.071
13178	EIF3E	0.071
13179	ANKRD31	0.071
13180	RNF125	0.071
13181	C11ORF82	0.071
13182	RNPEPL1	0.071
13183	SFXN2	0.071
13184	CCDC108	0.071
13185	AQP12A	0.071
13186	CHP2	0.071
13187	RBM23	0.071
13188	MDS2	0.071
13189	C1ORF194	0.071
13190	CCDC65	0.071
13191	ZBTB49	0.071
13192	C17ORF74	0.071
13193	EBAG9	0.071
13194	ANAPC11	0.071
13195	C14ORF182	0.071
13196	KIAA0922	0.071
13197	SCAND1	0.071
13198	SCAMP4	0.071
13199	MFSD12	0.071
13200	MPND	0.071
13201	SULF1	0.071
13202	CDRT15	0.071
13203	ZNF549	0.071
13204	SUGP1	0.071
13205	KRTAP4-4	0.071
13206	SDF4	0.071
13207	WDR88	0.071
13208	CXCR7	0.071
13209	C17ORF72	0.071
13210	SLC5A6	0.071
13211	PRNT	0.071
13212	CNTF	0.071
13213	PSMD7	0.071
13214	TMEM161A	0.071
13215	TMPRSS11B	0.071
13216	CYP2R1	0.071
13217	CPPED1	0.071
13218	PPIAL4A	0.071
13219	TAX1BP1	0.071
13220	RMI1	0.071
13221	NSMCE2	0.071
13222	MATN4	0.071
13223	CCDC58	0.071
13224	MUS81	0.071
13225	RAB43	0.071
13226	DDX60	0.071
13227	ESYT1	0.071
13228	NAT9	0.071
13229	TMEM251	0.071
13230	TSPAN33	0.071
13231	METTL22	0.071
13232	SCP2D1	0.071
13233	ULBP2	0.071
13234	OR1D2	0.071
13235	SKP1	0.071
13236	OTOP1	0.071
13237	EMB	0.071
13238	CHRM2	0.071
13239	FLJ11235	0.071
13240	GLB1L3	0.071
13241	ATP6V1D	0.071
13242	C11ORF94	0.071
13243	CRISPLD1	0.071
13244	LY6G5C	0.071
13245	CEP57L1	0.071
13246	CHDC2	0.071
13247	TBRG4	0.071
13248	C22ORF23	0.071
13249	SKOR1	0.071
13250	GPR126	0.071
13251	TMEM119	0.071
13252	PPP1R18	0.071
13253	ATPIF1	0.071
13254	FASTKD5	0.071
13255	SPCS3	0.071
13256	KDELC1	0.071
13257	CINP	0.071
13258	RCE1	0.071
13259	TMEM221	0.071
13260	EN2	0.071
13261	TMEM236	0.071
13262	GRAMD1C	0.071
13263	CDR2	0.071
13264	KLLN	0.07
13265	HLCS	0.07
13266	NSRP1	0.07
13267	IFT80	0.07
13268	ATG4A	0.07
13269	GID8	0.07
13270	SRD5A3	0.07
13271	ATP5D	0.07
13272	CDKN1C	0.07
13273	APOD	0.07
13274	E2F5	0.07
13275	KCNA5	0.07
13276	MOB3A	0.07
13277	EXD3	0.07
13278	CRIP3	0.07
13279	TMIE	0.07
13280	LCAT	0.07
13281	SLC25A39	0.07
13282	TMEM86A	0.07
13283	SAYSD1	0.07
13284	MND1	0.07
13285	WRAP53	0.07
13286	PDHA1	0.07
13287	HUS1	0.07
13288	BUB1B	0.07
13289	REXO1L1	0.07
13290	BCKDK	0.07
13291	GPN1	0.07
13292	GNE	0.07
13293	CENPH	0.07
13294	LYZ	0.07
13295	ACVRL1	0.07
13296	KIAA1257	0.07
13297	ANKS4B	0.07
13298	ALYREF	0.07
13299	SIRT6	0.07
13300	TSR3	0.07
13301	MGC39584	0.07
13302	NEU1	0.07
13303	EXOC3L1	0.07
13304	GNB2L1	0.07
13305	RCC1	0.07
13306	CNOT8	0.07
13307	C2ORF47	0.07
13308	CT47A1	0.07
13309	RELA	0.07
13310	PAX6	0.07
13311	PEX10	0.07
13312	PEX13	0.07
13313	GJB1	0.07
13314	CD46	0.07
13315	TCTE3	0.07
13316	NACA	0.07
13317	SNED1	0.07
13318	RASGRP3	0.07
13319	BLM	0.07
13320	THAP3	0.07
13321	TNFRSF10B	0.07
13322	RAB7A	0.07
13323	CCDC27	0.07
13324	LOC389199	0.07
13325	PKP2	0.07
13326	ARL4D	0.07
13327	IGF2BP2	0.07
13328	MKS1	0.07
13329	SCO2	0.07
13330	PINK1	0.07
13331	GALT	0.07
13332	HR	0.07
13333	ADAM32	0.07
13334	KRTAP4-2	0.07
13335	CYP2A6	0.07
13336	CENPI	0.07
13337	C12ORF61	0.07
13338	MYH9	0.07
13339	SLC10A5	0.07
13340	ECHDC2	0.07
13341	GRK1	0.07
13342	ODF3L2	0.07
13343	OTOF	0.07
13344	APH1B	0.07
13345	STAT3	0.07
13346	CD276	0.07
13347	RHOXF2B	0.07
13348	MLF1	0.07
13349	ZSCAN1	0.07
13350	FAM212A	0.07
13351	PIGH	0.07
13352	PIGV	0.07
13353	ZFAND3	0.07
13354	LIN37	0.07
13355	ZNF836	0.07
13356	TEX26	0.07
13357	OMD	0.07
13358	FOSL2	0.07
13359	CCDC171	0.07
13360	ZSCAN20	0.07
13361	SP140	0.07
13362	RPL39	0.07
13363	ADAMTSL2	0.07
13364	PP13439	0.07
13365	EPPIN	0.07
13366	ERRFI1	0.07
13367	ZNF771	0.07
13368	NT5DC4	0.07
13369	ZNF257	0.07
13370	PRR5	0.07
13371	TOPBP1	0.07
13372	ORC6	0.07
13373	SLC39A2	0.07
13374	KIF19	0.07
13375	LOC100132731	0.07
13376	OR11A1	0.07
13377	TEX30	0.07
13378	GCSAML	0.07
13379	IQCK	0.07
13380	BICC1	0.07
13381	RTDR1	0.07
13382	ABHD14B	0.07
13383	PRIM1	0.07
13384	ASB4	0.07
13385	SERINC2	0.07
13386	ASIC3	0.07
13387	ARPC1B	0.07
13388	TMEM120B	0.07
13389	MEF2BNB	0.07
13390	VEGFA	0.07
13391	RFESD	0.07
13392	RGSL1	0.07
13393	TYW3	0.069
13394	TMPRSS11F	0.069
13395	LHPP	0.069
13396	MYO19	0.069
13397	KIAA1524	0.069
13398	PDK3	0.069
13399	QRSL1	0.069
13400	GNA12	0.069
13401	TAS2R4	0.069
13402	LLGL1	0.069
13403	BDH2	0.069
13404	H2AFV	0.069
13405	ZNF410	0.069
13406	NUFIP1	0.069
13407	JMJD6	0.069
13408	MFSD3	0.069
13409	NAT6	0.069
13410	CMTM1	0.069
13411	ZSCAN4	0.069
13412	SNRPD1	0.069
13413	NOC4L	0.069
13414	NKX6-2	0.069
13415	C4ORF36	0.069
13416	RBBP8NL	0.069
13417	SLCO1B1	0.069
13418	GOLGA6L2	0.069
13419	DPH2	0.069
13420	LDHAL6A	0.069
13421	WDR55	0.069
13422	SERF1A	0.069
13423	FANCL	0.069
13424	MYOM3	0.069
13425	DAND5	0.069
13426	EPDR1	0.069
13427	SHPK	0.069
13428	C7ORF33	0.069
13429	GPR34	0.069
13430	ASPN	0.069
13431	GNPDA1	0.069
13432	CCDC129	0.069
13433	MAOB	0.069
13434	SPDYA	0.069
13435	MTERFD2	0.069
13436	ASAH2	0.069
13437	APOLD1	0.069
13438	PABPC4	0.069
13439	CORO1B	0.069
13440	RHOJ	0.069
13441	IFNE	0.069
13442	PF4V1	0.069
13443	IGFLR1	0.069
13444	IGSF9	0.069
13445	KCTD9	0.069
13446	ZG16B	0.069
13447	PRELID1	0.069
13448	TMSB4Y	0.069
13449	RFC4	0.069
13450	CBX8	0.069
13451	NLRP8	0.069
13452	LSM5	0.069
13453	PCDHB8	0.069
13454	ACAD9	0.069
13455	SPATA21	0.069
13456	COX1	0.069
13457	ADAMTS14	0.069
13458	PDIA4	0.069
13459	C10ORF53	0.069
13460	GFM1	0.069
13461	GTF3A	0.069
13462	TMEM220	0.069
13463	L3MBTL1	0.069
13464	FLOT1	0.069
13465	RPP21	0.069
13466	RNLS	0.069
13467	STIP1	0.069
13468	HOXA5	0.069
13469	SELRC1	0.069
13470	TGFA	0.069
13471	VMP1	0.069
13472	CHMP3	0.069
13473	LRRC29	0.069
13474	DCAF13	0.069
13475	DNPH1	0.069
13476	C10ORF105	0.069
13477	RAB42	0.069
13478	FTL	0.069
13479	EXD1	0.069
13480	TUBG1	0.069
13481	CPM	0.069
13482	MBD2	0.069
13483	CXORF38	0.069
13484	B4GALT4	0.069
13485	C16ORF11	0.069
13486	ZNF613	0.069
13487	HAPLN3	0.069
13488	FAM47C	0.069
13489	DEFB121	0.069
13490	OTUD7B	0.069
13491	CPXM1	0.069
13492	PRR5L	0.069
13493	SIGLEC11	0.069
13494	A2M	0.069
13495	WDR27	0.069
13496	IRGM	0.069
13497	PPP4C	0.069
13498	VEPH1	0.069
13499	C15ORF60	0.069
13500	XG	0.069
13501	YARS2	0.069
13502	RPAP3	0.069
13503	YEATS4	0.069
13504	COX18	0.069
13505	FOXF2	0.069
13506	MRPS9	0.069
13507	CALHM3	0.069
13508	IFIT1B	0.069
13509	TMEM64	0.069
13510	METRNL	0.069
13511	DSCR8	0.069
13512	KCTD19	0.069
13513	BMPR1A	0.069
13514	TNNC2	0.069
13515	NOP9	0.069
13516	KRT77	0.068
13517	PKD2L1	0.068
13518	RIT1	0.068
13519	SLC46A3	0.068
13520	NXN	0.068
13521	CPT1B	0.068
13522	CCL27	0.068
13523	CCDC151	0.068
